content,publish_time,like_num,forward_num,comment_num
一镜到底的S级氛围感，谁懂😍踏上专属发光迈巴赫标识迎宾踏板✨开门，入座，一触Nappa真皮内饰的柔软🥰沉浸于主动式环境氛围灯的光影流转🎆即刻与梅赛德斯-迈巴赫S级轿车一起品味这场夜色之旅🌃#迈STYLE# 梅赛德斯-奔驰的微博视频  ,2025-07-26 17:00,110,14,18
夏日防“shy”☝️还好有#全新纯电CLA#全景式天幕可同时实现99.9%的紫外线与98.3%的红外线防护，防晒双重保护⛱️这一“夏”，大胆出街！🚘 梅赛德斯-奔驰的微博视频  ,2025-07-25 13:44,174,11,40
二十三载征途再启，2025梅赛德斯杯中国总决赛，即将于海南万宁·神州高尔夫球会优雅开杆。 果岭如镜，椰风轻拂，光影流转时，挥洒天地间。 通往德国世界总决赛的荣耀席位，以及英国公开赛的沉浸式球赛体验席位将在此揭晓。品牌使者梁文冲携全国球手整装集结，一同奔赴高光时刻。#挥洒间洞见天地...全文 ,2025-07-25 10:00,346,46,24
一场仪式感拉满的S级果岭之约⛳️喝一杯咖啡☕️、行一程绿道🚘、见证一次挥杆🏌️♂️开#S级轿车#下场打球的仪式感从不让人失望球场中的优雅瞬间它都懂不喧不扰，仿佛你的型格延续🕴️落座其中，风景与心绪都找到合适的位置🌿🪟2025梅赛德斯杯全国总决赛即将启幕120位车友选手将...全文 ,2025-07-24 09:45,550,44,62
爱，如#奔驰大G#般鲜明。   [组图共3张] 原图 ,2025-07-23 10:00,216,31,36
#大暑#🌞纳凉🍃有瓜🍉速来上车🚙「梅赛德斯-奔驰 消暑大篷车」正式营业🈺线上吃瓜，奔驰#V级MPV# 邀你入座三伏天的吃瓜自由，是大V给的！  [组图共8张] 原图 ,2025-07-22 10:00,86,14,19
山川不曾动摇，而迈巴赫的旅人亦如群山般坚定百年时光轮转，当阿尔卑斯的晨光再次照见迈巴赫这已不止是汽车的远行，而是时光与精神的共赴#迈巴赫SW38##迈巴赫百年蜜月之旅# 梅赛德斯-奔驰的微博视频  ,2025-07-21 10:00,83,12,27
飞驰在曲折的盘山道，优雅驻留于千年古堡旁时光里的迈巴赫，经得起每一个弯道的考验，也受的住每一寸时光的凝视#迈巴赫S级轿车##迈巴赫百年蜜月之旅# 梅赛德斯-奔驰的微博视频  ,2025-07-20 10:00,106,19,16
当2025年的梅赛德斯-迈巴赫车队🚙重启一场1925年一对德国夫妇的2200公里的阿尔卑斯山冒险之旅🏔️在当代车型与“高山征服者”迈巴赫22/70 hp W3的跨世纪对话中感知来自百年前5.7升直列六缸发动机（70马力/2200转）的强大性能用现代科技致敬百年传奇🫡续写迈巴赫“无惧挑战、追求卓越”的...全文 [组图共17张] 原图 ,2025-07-19 11:00,126,14,21
阿尔卑斯的群山之间，藏着最炽热的浪漫从1925到2025，迈巴赫穿越阿尔卑斯重启百年蜜月之旅，于“巅峰”之上见巅峰#迈巴赫SL##迈巴赫百年蜜月之旅# 梅赛德斯-奔驰的微博视频  ,2025-07-19 10:00,105,13,24
"转发理由:开奔驰，坐奔驰，玩奔驰🥳 车手们，快上车！我们热湾见🫡  
原始用户: 极品飞车集结
转发内容: #极品飞车集结[超话]# 极品飞车：集结与梅赛德斯-奔驰奔驰合作，将腾讯首个开放世界赛车手游带入奔驰第三代MBUX 智能人机交互系统。正值《极品飞车：集结》一周年之际，为第三代MBUX车机系统定制的版本已经于7.16正式上线。继移动设备和PC后，玩家也可以在奔驰车机上畅享《极品飞车：集结》带给你的...全文 [组图共9张] 原图 ",2025-07-18 19:43,54,6,10
谁懂🥹在现实世界看见了「超现实主义座驾」！全新纯电CLA✖️KidSuper拉力赛车顶架🚙灵感源自奔驰F200 Imagination概念车的轮毂🛞还有挂在车身上可以随时带你“起飞”的热气球🎈……用牛仔帆布与铆钉拼贴打造的外壳下是未泯的童心和天马行空的想象力💭来！坐上这辆「满血状态」的...全文 [组图共12张] 原图 ,2025-07-18 14:14,453,22,79
古堡周末的dress code：复古黑。  [组图共2张] 原图 ,2025-07-18 10:00,122,17,24
好天气值得一个好排面。#迈巴赫S级#  [组图共3张] 原图 ,2025-07-17 14:00,255,22,61
👩➕🚙➕💐➕🐶🟰❓#世界emoji日# 今天你emoji了吗⁉带上小狗🐶和好天气🌞花花💐和#全新纯电CLA#🚙网页链接评论区用「4个emoji」形容你今天的好心情，我先来👩➕🚙➕💐➕🐶 梅赛德斯-奔驰的微博视频  ,2025-07-17 10:00,113,9,57
一次S级的耳部SPA👂进入#S级轿车#内，一镜到底体验柏林之声🎵温馨提示：请戴上耳机观看此视频🎧 梅赛德斯-奔驰的微博视频  ,2025-07-16 20:54,1495,22,58
落日前，见一面。#CLE敞篷轿跑车#  [组图共3张] 原图 ,2025-07-16 17:00,171,21,50
有大V的夏日，总是大有乐趣！#V级MPV#  原图 ,2025-07-15 10:00,96,9,28
周一，#奔驰大G#os：GO！  原图 ,2025-07-14 10:00,445,29,106
🎾 新球已备好！🙌 摩拳擦掌，周末上场 🎾#开奔驰打网球真的很搭##网球搭子一起奔驰##CLE敞篷轿跑车# 梅赛德斯-奔驰的微博视频  ,2025-07-12 16:38,107,14,28
周末，我们就这样一起放空。#奔驰大G#  [组图共3张] 原图 ,2025-07-11 17:00,311,33,71
全新纯电CLA「限时下订有好礼」现已开启🎁限时3000元下订💰订金膨胀最高可达10倍💥享受多重惊喜🎁即刻快乐开冲🚀点击了解权益详情 速来解锁 🚗💨网页链接  [组图共5张] 原图 ,2025-07-11 16:00,447,25,105
品味：找到挚友的捷径。  [组图共4张] 原图 ,2025-07-10 17:00,168,18,46
当S级老照片动起来，尘封的故事感被唤醒。穿越时空的S级“动态”，请查收✉️左滑👈查看穿越时空的S级动态#S级轿车#  [组图共9张] 原图 ,2025-07-10 10:38,133,42,37
🐎住！绝美球场的夏日巡礼⛳️湖光山色，林影天光，奔驰高尔夫之旅，是一次次与风度和自然胜景的重逢。 自2003年进入中国，从云端高地到滨海果岭，梅赛德斯杯已与球友们走过无数绿茵。2025梅赛德斯杯中国站，和奔驰一起细数那些令人心驰神往的球场。⛰️ 张家界｜天门山作伴，每一杆都向山水致...全文 [组图共16张] 原图 ,2025-07-09 18:58,63,9,26
周中的路上，多兜一圈就是gap hour🌬️ #奔驰C级#  原图 ,2025-07-09 10:00,165,20,40
经典，新生。  [组图共3张] 原图 ,2025-07-08 10:00,305,35,77
纯白登场，绿茵开打速度兼具风度，谁看了不说是草地赛季的最佳开场「白」🎾#开奔驰打网球真的很搭##网球搭子一起奔驰#  [组图共6张] 原图 ,2025-07-06 12:00,455,20,97
周末，见G行事。#奔驰大G#  原图 ,2025-07-04 17:00,1271,131,370
CLA？包（     ）的😎包上头的💥包能装的🚘包圈粉的🤩……还想要什么？☝️#全新纯电CLA#给你包了！🫵 [组图共7张] 原图 ,2025-07-04 13:00,1159,93,327
☔️ 这一帧夜幕的高光是#S级轿车#写给雨夜的浪漫签名✨也想看看你们拍到的氛围感雨天🌧雨季，也可以是一种治愈～  [组图共6张] 原图 ,2025-07-03 18:00,516,91,186
说走就走，永远为夏日“倾心，意动”。#梅赛德斯-奔驰GLC轿跑SUV#  [组图共4张] 原图 ,2025-07-02 10:00,363,61,114
给本周个微笑😊。  原图 ,2025-06-30 10:00,1979,20637,463
选择困难症慎入❗️选哪个颜色的#全新纯电CLA#？反正我是根本选不出来！🤯因为……每一款车色我！都！想！要！💓 梅赛德斯-奔驰的微博视频  ,2025-06-27 17:20,411,30,259
准备好参加#迈巴赫S级#的周末邀约了吗？  [组图共3张] 原图 ,2025-06-27 10:00,202,19,44
S级氛围感，很难抗拒。#S级轿车#  [组图共4张] 原图 ,2025-06-26 17:00,255,28,51
⛳️ 高球礼仪101｜动亦从容，静亦有度在#高尔夫#的世界里，先于挥杆的，是礼仪它不在规则之中，却深植于举止之间🏌️每一次挥杆前的绝对静谧既是对球员专注的尊重亦是高球运动独有的仪式感S级轿车与GLS SUV，与你并肩登场在挥洒之际，稳稳托起你每一次下场的从容当你俯身调整球位时草叶...全文 [组图共9张] 原图 ,2025-06-26 11:12,67,10,20
时刻准备好，“翼”起空降人生新程！🟠#C111##高考成绩#  原图 ,2025-06-25 10:05,260,24,76
#GLE轿跑SUV#哪一面车窗，是夏日最好的取景框？  [组图共3张] 原图 ,2025-06-24 10:00,229,14,50
周一，随#奔驰CLE#一起心动入镜。  原图 ,2025-06-23 10:00,410,15,117
老钱们的「夏日度假风」，松弛，自然有风。#夏至#  [组图共12张] 原图 ,2025-06-21 09:00,296,36,78
周末OOTD的缺点？是缺点#全新纯电CLA#的时髦感🚘作为一款好开、好看、好搭的炸街单品，出街即出片📸️关注并在评论区分享“周末你的炸街单品是什么？”，截止6月25日12:00，我们将抽取1位幸运粉丝送出「CLA激光镌刻随身挂杯」一个。 梅赛德斯-奔驰的微博视频  ,2025-06-20 15:00,469,75,250
👇这一辆：最小单位的度假岛。  [组图共4张] 原图 ,2025-06-20 10:00,345,35,89
查收你的「夏」场摩登型录 ⛳️高尔夫不止是精准挥杆，也是风格表达是在S级轿车，GLS SUV中自林荫驶来，节奏沉稳还是和SL 63，GLE SUV一起迎光登场，锋芒自现两种风格，都很奔驰🏌️♂️想把Golfcore生活方式带回家？从球包，T恤到球帽，奔驰高尔夫精品已经备好你的果岭日常装备⛳️点击...全文 [组图共12张] 原图 ,2025-06-19 10:00,221,15,54
S级人生体验，请对号入座。#S级轿车#  [组图共3张] 原图 ,2025-06-19 10:00,386,17,78
“欧” 气 爆 棚。  [组图共4张] 原图 ,2025-06-18 10:00,650,46,159
藏在车后的心意。#GLE轿跑SUV#  [组图共3张] 原图 ,2025-06-17 10:00,319,24,74
为本周多“花”点心思。#奔驰大G#  原图 ,2025-06-16 10:00,2334,147,361
#父亲节#，宜换上Daddy风壁纸👌请查收#S级轿车#的Daddy风型录👇   [组图共7张] 原图 ,2025-06-15 11:20,487,63,107
急急急，Crush周五发消息怎么回？#全新纯电CLA#🎙️评论区分享你和奔驰的周五chill时刻，我们将于6月18日12:00随机抽取1位幸运儿，送出「CLA激光镌刻随身挂杯」一个。 梅赛德斯-奔驰的微博视频  ,2025-06-13 18:08,8966,340,1249
高尔夫球场上，加个V？#V级MPV#  [组图共2张] 原图 ,2025-06-12 10:00,189,20,177
久等了！由奔驰携手@拳头游戏 联合呈现的#Uzi名人堂纪录片#即刻奉上！让我们一起重温👀“狂小狗”在峡谷贡献的“亿”点点传奇名场面，共享其登顶全球电竞巅峰的荣耀时刻！从「英雄联盟中国大陆赛区首席合作伙伴」，到「英雄联盟电竞赛事及其全球活动独家汽车行业伙伴」，再到2024年开始支持「英雄...全文 ,2025-06-12 00:08,167,13,110
考完了，也想开了😎想开开眼界！👀想开怀大笑！😆想开着冠军红游遍全世界的风景线🚗……想开的真的太太太太多☝️不过，最重要的还是……想开开心心解锁人生的新阶段🆙#全新纯电CLA# 梅赛德斯-奔驰的微博视频  ,2025-06-11 20:24,34750,6547,5077
有什么比夏日兜风更令人怦然心动的吗？#奔驰CLE#  原图 ,2025-06-11 10:00,175,21,78
请坐，这里是夏日舒适区C位！#奔驰C级#   [组图共2张] 原图 ,2025-06-10 10:00,205,21,74
接本周好状态：顺利到“飞起”。  原图 ,2025-06-09 10:00,382,32,105
迎接你的高光时刻#高考加油# 勇敢追光的你，值得拥有每一个高光时刻✨此刻，你只管大步奔驰，去遇见一个更耀眼的自己🌟祝所有考生，金榜题名 ，未来可期🎉  [组图共6张] 原图 ,2025-06-07 09:00,494,30,163
在6月6日晚举行的2025年“英雄联盟名人堂入选典礼”上，我们有幸与@英雄联盟赛事 一同见证了来自LPL赛区的天才“狂小狗”Uzi的荣耀时刻！同时也完成了「Uzi专属“MANUFAKTUR匠心高定”G级越野车」的车钥匙正式交付！🎉众所周知，“枣子哥”不仅在峡谷贡献无数值得再看👀“亿”遍的名场面，赛场外...全文 [组图共6张] 原图 ,2025-06-07 02:21,991,1776,269
来自#迈巴赫S级#华丽丽的祝福：心想事“橙”！ #高考加油#  [组图共4张] 原图 ,2025-06-06 10:00,474,41,140
“芒”中偷闲。#芒种#  [组图共2张] 原图 ,2025-06-05 10:00,241,20,91
#奔驰大G#回来了吗，各位探险家？  原图 ,2025-06-03 10:00,394,17,164
世界很大，但我不想长大那就继续带着“孩子气”像小时候一样，相信童话🎠 满脑好奇，对全世界发问🙋蹦蹦跳跳，化解一切烦恼🏃 六一儿童节来啦，希望大小朋友们可以不用“长大”，带着童心快乐出发🚗  [组图共9张] 原图 ,2025-06-01 08:33,703,33,177
🐈：人好，车好，大家好今日份温暖灵感，来自梅赛德斯-奔驰车主🥰#司机停车救下在马路中央的小猫#  原图 ,2025-05-31 16:08,352,27,114
安全这件事儿，#小孩说话也管用#！如何守护儿童出行安全？一棵家庭安全树，一纸安全备忘录，一本安全手工书……当小孩成为自己的“安全提案家”，在#奔驰星愿基金#与来自公安部交通管理局、公安部道路交通安全研究中心、中国青少年发展基金会、中国少年儿童新闻出版总社的专家的倡议下，更多超棒...全文 [组图共6张] 原图 ,2025-05-30 20:30,74,7,26
玉粽寻香，礼至心灵。#端午安康##奔驰##端午粽子大赏##迈巴赫# 梅赛德斯-奔驰的微博视频  ,2025-05-30 18:42,303,27,116
明天的此时此刻你在哪儿？#奔驰大G#   [组图共2张] 原图 ,2025-05-30 10:00,442,24,150
走吗?楼下等你。  [组图共3张] 原图 ,2025-05-29 17:00,365,30,259
很 难 低 调。  [组图共3张] 原图 ,2025-05-28 10:00,1620,89,835
是谁，犯“网”瘾了❤️🔥是时候了，再赴红土之约🎾球速更慢，胜利产生在那些手感细腻，心态够稳的挥拍瞬间打法要卷，但只为那一份深藏在心的“红土情结”一期一会，搓手苦等的这个传奇球场终于又来了🏜 当然了，在这里只有真正slay的，才能留下名字和第五代E级车（内部代号V123）、SL...全文 [组图共9张] 原图 ,2025-05-27 15:00,391,24,113
认真了——夏日出游的S级邀请。#S级轿车#  [组图共6张] 原图 ,2025-05-27 10:00,402,42,120
本周起点，隆重点。#迈巴赫S级#  原图 ,2025-05-26 10:00,490,17,126
随E享受周末的前调。#奔驰E级#  原图 ,2025-05-23 17:00,203,22,88
#奔驰大G#的酷，根本“蓝”不住。  [组图共6张] 原图 ,2025-05-22 10:00,1425,47,174
#小满#优雅，是一切饱满得刚刚好。  原图 ,2025-05-21 10:00,165,23,24
今天，G属于你。#520##奔驰大G#  [组图共2张] 原图 ,2025-05-20 12:00,552,39,49
热烈祝贺@UziQAQ 简自豪（昵称Uzi）正式入选英雄联盟名人堂！作为英雄联盟全球赛事独家汽车行业合作伙伴，我们很荣幸能够与@拳头游戏 @英雄联盟赛事 一同见证专属于Uzi“狂小狗”的这一传奇时刻。为致敬这位来自LPL赛区的传奇选手，我们特别打造了一辆Uzi专属的“MANUFAKTUR匠心高定”梅赛德斯-奔驰...全文 ,2025-05-20 10:49,2201,75,182
本周的高效向#VISION EQXX#看齐。  原图 ,2025-05-19 10:00,95,8,13
周末dress code：高智感。#奔驰E级#  [组图共3张] 原图 ,2025-05-16 17:00,138,23,19
🏌️♂️准备好了吗？⛳️2025梅赛德斯杯即将优雅开杆#梅赛德斯杯#在中国已书写了23年的高球传奇✨今年，我们再度携手品牌使者@梁文冲 先生与新生代天才Ludvig Åberg，以球会友，于#挥洒间洞见天地#。#高尔夫# 梅赛德斯-奔驰的微博视频  ,2025-05-16 09:45,26,10,6
#国际家庭日#就是要全家一起，尽情V笑。#奔驰V级MPV#  原图 ,2025-05-15 10:00,40,6,2
接人的排面，如图。  [组图共3张] 原图 ,2025-05-14 10:00,214,25,40
#北京冰雹#下雨天了怎么办，我好想告诉你：1️⃣雨天路滑，控制车速保持安全车距🚗2️⃣及时打开雨刮器，必要时开启雾灯💡，保障行驶能见度3️⃣打开“REAR”键以开启后视镜加热及除雾功能🌬️，去除后视镜水雾💦4️⃣打开前、后车窗除雾，提高视野清晰度👀5️⃣避开积水路段，以防发...全文 [组图共3张] 原图 ,2025-05-13 22:12,65,15,10
细节控已被控。  [组图共4张] 原图 ,2025-05-13 10:00,266,25,22
让妈妈们快乐奔驰，随她吧！速来围观飞驰的妈妈，欢乐的我你和妈妈有什么母「chi」子笑的名场面评论区一键三连，带话题#母驰子笑#晒晒你心中妈妈“奔驰”的精神状态～🎙️我们将于5月12日12点随机抽取3位粉丝派发母亲节的心意礼物㊗️妈妈们节日快乐！#母驰子笑##母亲节# 梅赛德斯-奔驰的微博视频...全文 ,2025-05-11 08:00,203,245,65
#奔驰E级#让周五的夜晚，多E点氛围感。  原图 ,2025-05-09 17:00,104,16,11
是谁还没见过会笑的#全新纯电长轴距CLA#？☝#世界微笑日#👐笑就对啦～  [组图共6张] 原图 ,2025-05-08 16:47,97,12,23
@ 和你品味一样的人下次一起坐。#迈巴赫S级#  [组图共5张] 原图 ,2025-05-08 10:00,239,19,30
前方注意，心动的惊喜还在后面~#CLE敞篷轿跑车#  [组图共2张] 原图 ,2025-05-07 10:00,180,13,15
返工第一天，假装还在海边。  [组图共2张] 原图 ,2025-05-06 10:02,130,15,27
#立夏#心动与夏日，怦然而至。#奔驰CLE#  [组图共4张] 原图 ,2025-05-05 10:00,104,13,16
#五四青年节#时刻保持自我刷新，重新认识下#全新纯电长轴距CLA#。  [组图共4张] 原图 ,2025-05-04 10:00,94,14,18
一起优雅沉浸假期vibe🌊 #五一随手拍#  [组图共3张] 原图 ,2025-05-01 10:00,170,25,18
假期的气息，小狗先闻到！  [组图共4张] 原图 ,2025-04-30 17:00,624,60,190
很经典，又是周一。#奔驰E级#  原图 ,2025-04-28 10:08,106,17,17
侬好，探展模式开启！在未来城市的多维之境，与#全新纯电长轴距CLA#一起驶入全面突破的新生之境，入座Vision V概念车沉浸在豪华的未来之境，与AMG一起加入赛道狂欢的极速之境，随迈巴赫驶入以礼为尊的至臻之境，看G级越野车征服冲破G限的传奇之境。#2025上海车展#梅赛德斯-奔驰携全品牌多款车型“星...全文 ,2025-04-26 14:30,433,24,20
G限挑战邀请已发出，即刻加入↓直击纯电G级越野车45°极限攀爬，围观G 63与G 500同场竞技。越野ICON，无论油电的每一面，都很硬核。#2025上海车展#一起征服冲破G限的传奇之境。  [组图共9张] 原图 ,2025-04-26 10:00,263,28,33
你的#2025上海车展# 🎫人脉又多一个！新平台、新科技，梅赛德斯-奔驰全品牌28款星徽座驾亮相上海车展。即日起-5月2日，📍上海国际车展4.1号馆梅赛德斯-奔驰展台，等侬来白相喏！评论区带话题#2025上海车展#说说你最想在奔驰展台看到的“星”动车型参与抽奖，截止4月28日中午12:00我们将随机选...全文 [组图共9张] 原图 ,2025-04-25 12:30,44,9,44
又一次为#2025上海车展#奔驰展台“星”动！全面突破的新生之境、尊享豪华的未来之境、赛道狂欢的极速之境、以礼为尊的至臻之境、冲破G限的传奇之境，在“未来城市的多维之境”中，一起探索充满前瞻科技与豪华质感的都市缩影，随星徽游走于“坐标—生长”的叙事脉络，解锁未来出行的无限可能。即刻前...全文 [组图共9张] 原图 ,2025-04-24 13:00,969,64,89
请入座，你的移动私享贵宾厅。Vision V概念车，以全新VAN.EA纯电架构平台打造，融合经典的创新美学，构建“私享贵宾厅”的尊享空间，塑造七重交互体验的沉浸式数字座舱，重新定义私人豪华MPV。在#2025上海车展#，与Vision V概念车一起，步入尊享豪华的未来之境。  [组图共9张] 原图 ,2025-04-24 10:00,740,60,65
侬好，速来#2025上海车展#前排占座！👀🚗 新平台、新科技，梅赛德斯-奔驰以全明星阵容28款车型熠耀亮相！重新认识下#全新纯电长轴距CLA#再打个招呼👋🏻，入座概念车Vision V的私享贵宾厅，接受全新AMG GT 63 4MATIC+刷圈邀请！4月23日-5月2日，📍上海国际车展4.1号馆梅赛德斯-奔驰展台见...全文 [组图共9张] 原图 ,2025-04-23 14:03,2324,166,261
#全新纯电长轴距CLA#现已正式亮相兼具科技感和情绪价值的全新设计超长续航、超快充电、超低能耗的松弛感更善解人意更聪明好用的智能体验你想要的，#电车界的时髦精CLA#都有即刻入座，开启我们的新故事#2025上海车展# 梅赛德斯-奔驰的微博视频  ,2025-04-22 14:45,757,62,119
侬好！认识一下？腔调拉满的#全新纯电长轴距CLA#来了！锁定4月22日全球首秀，“星”动时刻，一起见证！#2025上海车展##电车界的时髦精CLA# 梅赛德斯-奔驰的微博视频  ,2025-04-22 11:07,53,15,12
种草在心巴上，就现在！ #全新纯电长轴距CLA#⏰4月22日，与你不见不散！ 梅赛德斯-奔驰的微博视频  ,2025-04-21 10:00,34,11,12
4月22日，梅赛德斯-奔驰Vision V概念车全球首秀，前所未有的豪华空间、专属尊享、数字体验，突破想象。 梅赛德斯-奔驰的微博视频  ,2025-04-20 15:00,73,11,11
正在打印魔都周末的狂欢记忆......一起重温这场肾上腺素✖️红色美学的双倍暴击#全新纯电长轴距CLA#氛围浓度过高这意犹未尽的感觉，谁懂 梅赛德斯-奔驰的微博视频  ,2025-04-20 12:00,34,4,5
怦然心动，想让云知道。#CLE敞篷轿跑车#  [组图共4张] 原图 ,2025-04-18 10:00,130,16,13
氛围恰到好处，同频的人总是E见如故。#奔驰E级#  [组图共2张] 原图 ,2025-04-17 10:00,126,29,13
每个角度都很来电。#奔驰大G#  [组图共4张] 原图 ,2025-04-16 18:00,171,18,17
开、关、开、关......神神秘秘，谁要登场？原来是——#全新纯电长轴距CLA#142颗星星在跟你Say hi并向你发出了派对邀请坐标上海📍“星”动信号已满格「星动城市派对」即将开启🔛一起前往INS新乐园🎉在潮酷次元，解锁不设限的狂欢😎 梅赛德斯-奔驰的微博视频  ,2025-04-15 15:30,48,9,8
当Y2K荧光滤镜遇见全新纯电CLA，漏光胶片也让心跳漏了半拍。#全新纯电长轴距CLA#即将惹眼亮相，很期待和你见面！  [组图共9张] 原图 ,2025-04-14 10:00,45,15,10
🌪️大风来了，我先躺两天是的，我是一枚灵活可放倒的奔驰立标面对极端天气，暂时进入“躺平”模式，降低社区和人身安全隐患友友们，面对大风天气请合理安排出行尽量避免户外活动安全第一☝️等风走了，一起拥抱晴天☀️#北京大风#  原图 ,2025-04-11 22:31,158,23,44
你没来过，春天就不算过。#奔驰GLS SUV#在等你，一起开往不一样的春天。  原图 ,2025-04-10 10:00,79,16,13
G刻，与灵感同“盟”。梅赛德斯-奔驰携手@Moncler盟可睐 与设计师NIGO合作打造Project G-Class Past ll Future及胶囊系列时尚单品现已开售。传奇ICON × 天才灵感，从公路到秀场，由复古驶向未来。  [组图共9张] 原图 ,2025-04-09 10:02,38,6,6
"转发理由:十三年星途，每一个Step都算数！㊗️G级越野车品牌大使#张艺兴出道十三周年# 快乐！  
原始用户: 张艺兴
转发内容: 张艺兴的微博音频  ",2025-04-08 22:19,4959,3165,668
这份蓝色浪漫实录，请查收。#S级轿车#  [组图共6张] 原图 ,2025-04-08 10:00,153,20,12
本周的超强气场，都有G可循。  [组图共4张] 原图 ,2025-04-07 10:00,184,21,25
“轮”到春日光影了。#奔驰GLC#  [组图共2张] 原图 ,2025-04-03 10:00,95,21,12
一场春天正在上映，#奔驰GLS SUV#已为你调至最佳观赏模式。  原图 ,2025-04-02 10:00,121,23,12
想怎么造，就怎么造。造车，奔驰是头一号。全新梅赛德斯-奔驰“竖屏”车，你爱了吗？#愚人节#快乐 梅赛德斯-奔驰的微博视频  ,2025-04-01 20:31,63,13,11
你品，你细品S-Class的细节，不能浅「尝」即止。#奔驰##梅赛德斯-奔驰##奔驰S级##ASMR##愚人节# 梅赛德斯-奔驰的微博视频  ,2025-04-01 10:00,76,27,12
周一自带S级春日“绿”镜。#S级轿车#  [组图共6张] 原图 ,2025-03-31 10:00,219,47,32
谁懂这E刻的含金量。#奔驰E级#  [组图共4张] 原图 ,2025-03-28 18:56,209,27,30
速度之美，正轰鸣于记忆与情感中。AW2025上海时装周，梅赛德斯-奔驰携手多元跨领域艺术家王令尘打造全新艺术装置【Time Warp】—AMG的性能美学与上海梧桐飞叶流光共舞，迸发出速度与美学的无尽想象。 梅赛德斯-奔驰的微博视频  ,2025-03-28 11:00,43,10,7
在户外，就别和#奔驰GLC#见外。  原图 ,2025-03-28 10:00,55,11,14
街道秀场，SLAY全场。梅赛德斯-奔驰再度携手2025秋冬#上海时装周#，锁定魔都街头巷尾，0帧起跑，顶级时髦感，极速狂飙中。#开AMG狠时髦##这狠AMG# 梅赛德斯-奔驰的微博视频  ,2025-03-26 19:43,33,8,11
